filename,task-clock,context-switches,cpu-migrations,page-faults,cycles,instructions,branches,branch-misses,stalled-cycles-frontend,stalled-cycles-backend,cache-references,cache-misses,time-elapsed
2024_12_17__11-25-17/gemver_N_40000_np_1_omp/18479761.err,11641.6,0,0,806314,36324416372,57212284670,4405058465,986521,6003088,76724595,6253724637,1507494978,11.656300925
2024_12_17__11-25-17/gemver_N_40000_np_1_omp/18479761.err,10349.76,0,0,309109,33662043935,57278635883,4403625118,484437,3076314,8409556,6202509508,1245104930,10.361523578
2024_12_17__11-25-17/gemver_N_40000_np_1_omp/18479761.err,10549.37,0,0,379628,33989517177,57106513768,4403775127,556618,3749228,36640657,6187561600,1282278743,10.568612779
2024_12_17__11-25-17/gemver_N_40000_np_1_omp/18479761.err,10949.58,0,0,419485,35168736004,57262669611,4406382759,652900,4299469,46428268,6241851224,1271127663,10.962143116
2024_12_17__11-25-17/gemver_N_40000_np_1_omp/18479761.err,10669.14,0,0,320350,34634339549,57177670660,4400452108,495680,3532318,32867913,6258728082,1229924710,10.681269118
2024_12_17__11-25-10/gemver_N_40000_np_1_omp/18479753.err,13483.44,0,0,1482877,40017304007,57204702254,4404923265,1713343,10899351,15335528,6300251458,2025685008,13.501124711
2024_12_17__11-25-10/gemver_N_40000_np_1_omp/18479753.err,9256.69,0,0,8134,30919801275,57233164732,4400031489,181498,1702846,2608817,6181155727,1198781012,9.268031038
2024_12_17__11-25-10/gemver_N_40000_np_1_omp/18479753.err,9569.63,0,0,8132,32065317193,57169987392,4394148341,181123,1711044,2586995,6213254720,1184525122,9.587871576
2024_12_17__11-25-10/gemver_N_40000_np_1_omp/18479753.err,10020.44,0,0,309110,32295038641,57302260089,4407658008,492616,3887790,5298985,6212130807,1279183160,10.031634921
2024_12_17__11-25-10/gemver_N_40000_np_1_omp/18479753.err,9285.44,0,0,8133,31022904319,57160722908,4398451327,180898,3315429,2060800,6184028111,1198467036,9.296291749
2024_12_17__11-39-22/gemver_N_40000_np_1_omp/18480327.err,10146.6,0,0,243702,32969216748,57302889393,4417824924,418867,3179519,3118395,6212353929,1244891666,10.159661691
2024_12_17__11-39-22/gemver_N_40000_np_1_omp/18480327.err,10140.54,0,0,8132,33791814523,57283634803,4412466498,183464,2114302,2380520,6123549218,1196105559,10.153696303
2024_12_17__11-39-22/gemver_N_40000_np_1_omp/18480327.err,14593.84,0,0,1643843,42497237765,57283393507,4426328550,1825514,10288941,3285394,6272183507,2146970719,14.617838899
2024_12_17__11-39-22/gemver_N_40000_np_1_omp/18480327.err,13766.04,0,0,1432288,40794218471,57272165124,4412751596,1614289,9488895,85283757,6269565902,1990506046,13.78138314
2024_12_17__11-39-22/gemver_N_40000_np_1_omp/18480327.err,11616.09,0,0,730685,36560921574,57201118951,4409143729,902481,5821053,47420318,6269137151,1436269153,11.6384077
2024_12_17__11-25-19/gemver_N_40000_np_1_omp/18479762.err,18170.17,0,0,2555977,50596009998,57251361019,4404272978,2744901,15265003,264337809,6350172143,2824667643,18.193808288
2024_12_17__11-25-19/gemver_N_40000_np_1_omp/18479762.err,17155.33,0,0,2485459,47981384298,57344838840,4414234604,2671413,14859551,215350318,6328064264,2801593341,17.181623563
2024_12_17__11-25-19/gemver_N_40000_np_1_omp/18479762.err,16442.76,0,0,2348512,46035138504,57157384671,4411095918,2540724,14046186,204504309,6325815021,2696449985,16.462875879
2024_12_17__11-25-19/gemver_N_40000_np_1_omp/18479762.err,16289.48,0,0,2289237,46405911773,57302560402,4408697255,2477463,14042188,154180030,6315840995,2653099627,16.314863488
2024_12_17__11-25-19/gemver_N_40000_np_1_omp/18479762.err,16109.65,0,0,2288213,44860579344,57206799120,4406381530,2509914,14446689,246066633,6315746493,2674589508,16.128653448
2024_12_17__11-25-21/gemver_N_40000_np_1_omp/18479764.err,9128.95,0,0,7622,30403090846,57237354297,4394845424,180649,3047603,2525068,6170846033,1205140872,9.143464876
2024_12_17__11-25-21/gemver_N_40000_np_1_omp/18479764.err,9157.63,0,0,7621,30515654828,57219649507,4397517996,180287,3387817,2943305,6187232723,1204246136,9.170546294
2024_12_17__11-25-21/gemver_N_40000_np_1_omp/18479764.err,9131.02,0,0,8131,30396740887,57259842220,4403506230,181745,3329851,2727939,6151178397,1205971307,9.146741313
2024_12_17__11-25-21/gemver_N_40000_np_1_omp/18479764.err,9172.92,0,0,8131,30523425647,57207468887,4406163301,182009,3026153,2538603,6170411022,1202077748,9.188464586
2024_12_17__11-25-21/gemver_N_40000_np_1_omp/18479764.err,9162.47,0,0,7622,30591519745,57212806905,4399463696,180750,3013718,2635336,6162432526,1202581291,9.174699398
2024_12_17__11-31-29/gemver_N_40000_np_1_omp/18480004.err,20944.08,0,0,3024053,52861085400,57221813575,4414610595,3213385,17540426,245322591,6356197290,3132333946,20.97101878
