Kernel,Size,Processes,Type,Max Runtime,STD
gemver,10000,1,std,0.291234,0.0
gemver,10000,1,std,0.294023,0.0
gemver,10000,1,std,0.289169,0.0
gemver,10000,1,std,0.292794,0.0
gemver,10000,1,std,0.289718,0.0
gemver,10000,1,std,0.294372,0.0
gemver,10000,1,std,0.294108,0.0
gemver,10000,1,std,0.293283,0.0
gemver,10000,1,std,0.291046,0.0
gemver,10000,1,std,0.294322,0.0
gemver,10000,2,mpi,0.170742,0.0002464999999999967
gemver,10000,2,mpi,0.179623,0.0013050000000000006
gemver,10000,2,mpi,0.156705,0.0005539999999999989
gemver,10000,2,mpi,0.157762,0.0017460000000000114
gemver,10000,2,mpi,0.163914,0.0004230000000000067
gemver,10000,2,mpi,0.169738,0.0002555000000000057
gemver,10000,2,mpi,0.155006,0.00031549999999999634
gemver,10000,2,mpi,0.156716,0.0013164999999999982
gemver,10000,2,mpi,0.164651,0.0004740000000000022
gemver,10000,2,mpi,0.159031,0.002126000000000003
gemver,10000,16,mpi,0.070524,0.0017157582826187964
gemver,10000,16,mpi,0.077529,0.0012435005968534953
gemver,10000,16,mpi,0.080338,0.003767829978395224
gemver,10000,16,mpi,0.073089,0.0017468904874089856
gemver,10000,16,mpi,0.099116,0.0017258764259065603
gemver,10000,16,mpi,0.092126,0.0014763956942817702
gemver,10000,16,mpi,0.105384,0.00257974952681336
gemver,10000,16,mpi,0.070846,0.0017305794549803272
gemver,10000,16,mpi,0.075809,0.0026009244240029344
gemver,10000,16,mpi,0.077136,0.0024641048704346987
gemver,10000,8,omp,0.073014,0.006518164170991707
gemver,10000,32,mpi,0.067265,0.0013363531791169357
gemver,10000,32,mpi,0.059559,0.0009641124191897635
gemver,10000,32,mpi,0.071531,0.001306912298831079
gemver,10000,32,mpi,0.067162,0.0012432382851222641
gemver,10000,32,mpi,0.063279,0.0014325318055887762
gemver,10000,32,mpi,0.071081,0.0014921204696986608
gemver,10000,32,mpi,0.076247,0.0010079685150557786
gemver,10000,32,mpi,0.097625,0.001300232033078616
gemver,10000,32,mpi,0.064405,0.0013701976462699643
gemver,10000,32,mpi,0.074511,0.0012164136672863134
gemver,10000,48,omp,0.051743,0.0011392840734426154
gemver,10000,16,omp,0.051412,0.0027284396658163435
gemver,10000,32,omp,0.048993,0.0027828669766986713
gemver,10000,2,omp,0.205791,0.013658912239267082
gemver,10000,4,mpi,0.108007,0.010707671128681533
gemver,10000,4,mpi,0.133611,0.014615316920528958
gemver,10000,4,mpi,0.129916,0.011099411729907135
gemver,10000,4,mpi,0.130675,0.011522312558141274
gemver,10000,4,mpi,0.166468,0.01333444667721537
gemver,10000,4,mpi,0.123377,0.00962782149229513
gemver,10000,4,mpi,0.134194,0.01067186282942205
gemver,10000,4,mpi,0.166563,0.011682795780548415
gemver,10000,4,mpi,0.15186,0.012074255864752081
gemver,10000,4,mpi,0.118192,0.009106296983406592
gemver,10000,4,omp,0.182048,0.027475925579313974
gemver,10000,48,mpi,0.088681,0.0022775959361273647
gemver,10000,48,mpi,0.083937,0.0019129961987931956
gemver,10000,48,mpi,0.083934,0.00194604093010638
gemver,10000,48,mpi,0.08181,0.001970490680109729
gemver,10000,48,mpi,0.085415,0.0014093068473297642
gemver,10000,48,mpi,0.085032,0.0017211897985064397
gemver,10000,48,mpi,0.097792,0.0015467633388430461
gemver,10000,48,mpi,0.079987,0.002119155815671361
gemver,10000,48,mpi,0.079162,0.0015973412278733345
gemver,10000,48,mpi,0.0826,0.001584126125944303
gemver,10000,8,mpi,0.098845,0.0024547941837097078
gemver,10000,8,mpi,0.080873,0.002428103426545088
gemver,10000,8,mpi,0.073559,0.001686728267979165
gemver,10000,8,mpi,0.077775,0.002329760418878945
gemver,10000,8,mpi,0.077795,0.002866746718843504
gemver,10000,8,mpi,0.073864,0.001420065661994189
gemver,10000,8,mpi,0.086695,0.0030889117319049444
gemver,10000,8,mpi,0.076502,0.0014020764902012307
gemver,10000,8,mpi,0.072473,0.0015736967425460317
gemver,10000,8,mpi,0.076062,0.003092687130554918
